Hasil Prediksi,Akurasi
Walrus,90.2%
BeardedSeal,90.2%
Walrus,90.2%
Walrus,90.2%
BeardedSeal,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
BeardedSeal,90.2%
BeardedSeal,90.2%
Walrus,90.2%
BeardedSeal,90.2%
BeardedSeal,90.2%
Walrus,90.2%
WeddellSeal,90.2%
Walrus,90.2%
WeddellSeal,90.2%
Walrus,90.2%
WeddellSeal,90.2%
WeddellSeal,90.2%
Walrus,90.2%
WeddellSeal,90.2%
Walrus,90.2%
WeddellSeal,90.2%
BeardedSeal,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
BeardedSeal,90.2%
Walrus,90.2%
WeddellSeal,90.2%
WeddellSeal,90.2%
WeddellSeal,90.2%
Walrus,90.2%
Walrus,90.2%
WeddellSeal,90.2%
Walrus,90.2%
SpottedSeal,90.2%
BeardedSeal,90.2%
BeardedSeal,90.2%
Walrus,90.2%
WeddellSeal,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
Walrus,90.2%
BeardedSeal,90.2%
WeddellSeal,90.2%
BeardedSeal,90.2%
WeddellSeal,90.2%
SpottedSeal,90.2%
WeddellSeal,90.2%
WeddellSeal,90.2%
Walrus,90.2%
BeardedSeal,90.2%
